"year","sex","age","deaths"
2001,"female",40,27.1498801542479
2001,"female",45,41.2275957897839
2001,"female",50,52.2886580748479
2001,"female",55,57.3164136589679
2001,"female",60,59.3275158926159
2001,"female",65,75.8400210301246
2001,"female",70,113.627276201112
2001,"female",75,112.060859919525
2001,"female",80,119.660582902056
2001,"female",85,252.393330322823
2002,"female",0,50.5936293436293
2002,"female",1,12.142471042471
2002,"female",5,8.09498069498069
2002,"female",10,7.08310810810811
2002,"female",15,7.08310810810811
2002,"female",20,18.2137065637066
2002,"female",25,6.07123552123552
2002,"female",30,10.1187258687259
2002,"female",35,17.201833976834
2002,"female",40,27.3205598455598
2002,"female",45,41.4867760617761
2002,"female",50,61.7242277992278
2002,"female",55,59.7004826254826
2002,"female",60,52.6173745173745
2002,"female",65,88.0329150579151
2002,"female",70,84.9972972972973
2002,"female",75,114.341602316602
2002,"female",80,138.626544401544
2002,"female",85,242.849420849421
2003,"female",0,60.6657875269371
2003,"female",1,7.07767521147599
2003,"female",5,9.09986812904056
2003,"female",10,5.05548229391142
2003,"female",15,13.1442539641697
2003,"female",20,19.2108327168634
2003,"female",25,10.1109645878228
2003,"female",30,13.1442539641697
2003,"female",35,15.1664468817343
2003,"female",40,30.3328937634685
2003,"female",45,34.3772795985977
2003,"female",50,49.9745414932044
2003,"female",55,62.6879804445016
2003,"female",60,60.6657875269371
2003,"female",65,83.9210060789296
2003,"female",70,89.9875848316233
2003,"female",75,104.142935254575
2003,"female",80,132.453636100479
2003,"female",85,292.20687658808
2004,"female",0,61.2086463316953
2004,"female",1,14.0478860433399
2004,"female",5,8.02736345333709
2004,"female",10,4.01368172666854
2004,"female",15,13.0444656116728
2004,"female",20,8.02736345333709
2004,"female",25,18.0615677700084
2004,"female",30,19.0649882016756
2004,"female",35,30.1026129500141
2004,"female",40,25.0855107916784
2004,"female",45,43.1470785616868
2004,"female",50,53.1812828783582
2004,"female",55,60.2052259000281
2004,"female",60,84.2873162600394
2004,"female",65,92.3146797133765
2004,"female",70,103.352304461715
2004,"female",75,105.803698680851
2004,"female",80,136.46517870673
2004,"female",85,294.002186478471
2005,"female",0,65.2209005947324
2005,"female",1,13.0441801189465
2005,"female",5,8.02718776550552
2005,"female",10,7.02378929481733
2005,"female",15,10.0339847068819
2005,"female",20,10.0339847068819
2005,"female",25,12.0407816482583
2005,"female",30,24.0815632965166
2005,"female",35,22.0747663551402
2005,"female",40,27.0917587085811
2005,"female",45,31.1053525913339
2005,"female",50,48.1631265930331
2005,"female",55,65.2209005947324
2005,"female",60,68.2310960067969
2005,"female",65,111.377230246389
2005,"female",70,115.390824129142
2005,"female",75,120.407816482583
2005,"female",80,150.509770603229
2005,"female",85,271.9209855565
2006,"female",0,73.1222252333715
2006,"female",1,11.018417500919
2006,"female",5,5.00837159132682
2006,"female",10,8.01339454612291
2006,"female",15,12.0200918191844
2006,"female",20,13.0217661374497
2006,"female",25,21.0351606835726
2006,"female",30,21.0351606835726
2006,"female",35,14.0234404557151
2006,"female",40,25.0418579566341
2006,"female",45,32.0535781844916
2006,"female",50,59.0987847776564
2006,"female",55,54.0904131863296
2006,"female",60,87.1456656890866
2006,"female",65,96.1607345534749
2006,"female",70,102.170780463067
2006,"female",75,120.200918191844
2006,"female",80,161.786454872905
2006,"female",85,280.468809114302
2007,"female",0,65.5985509915031
2007,"female",1,14.0250295671879
2007,"female",5,9.01609043604935
2007,"female",10,6.01072695736623
2007,"female",15,6.01072695736623
2007,"female",20,14.0250295671879
2007,"female",25,15.0268173934156
2007,"female",30,10.0178782622771
2007,"female",35,28.0500591343757
2007,"female",40,28.0500591343757
2007,"female",45,37.0661495704251
2007,"female",50,55.0983304425238
2007,"female",55,77.1376626195333
2007,"female",60,85.1519652293549
2007,"female",65,70.1251478359394
2007,"female",70,116.207387842414
2007,"female",75,137.244932193196
2007,"female",80,128.228841757146
2007,"female",85,284.507742648668
2008,"female",0,66.3502653525398
2008,"female",1,13.0689916603487
2008,"female",5,6.03184230477635
